WKT;no
POLYGON ((137 40,137 40.6666666666667,138 40.6666666666667,138 40,137 40));6037
POLYGON ((138 40,138 40.6666666666667,139 40.6666666666667,139 40,138 40));6038
POLYGON ((139 40,139 40.6666666666667,140 40.6666666666667,140 40,139 40));6039
POLYGON ((140 40,140 40.6666666666667,141 40.6666666666667,141 40,140 40));6040
POLYGON ((141 40,141 40.6666666666667,142 40.6666666666667,142 40,141 40));6041
POLYGON ((142 40,142 40.6666666666667,143 40.6666666666667,143 40,142 40));6042
POLYGON ((143 40,143 40.6666666666667,144 40.6666666666667,144 40,143 40));6043
POLYGON ((144 40,144 40.6666666666667,145 40.6666666666667,145 40,144 40));6044
POLYGON ((145 40,145 40.6666666666667,146 40.6666666666667,146 40,145 40));6045
POLYGON ((146 40,146 40.6666666666667,147 40.6666666666667,147 40,146 40));6046
POLYGON ((147 40,147 40.6666666666667,148 40.6666666666667,148 40,147 40));6047
POLYGON ((148 40,148 40.6666666666667,149 40.6666666666667,149 40,148 40));6048
POLYGON ((149 40,149 40.6666666666667,150 40.6666666666667,150 40,149 40));6049
POLYGON ((150 40,150 40.6666666666667,151 40.6666666666667,151 40,150 40));6050
POLYGON ((151 40,151 40.6666666666667,152 40.6666666666667,152 40,151 40));6051
POLYGON ((152 40,152 40.6666666666667,153 40.6666666666667,153 40,152 40));6052
POLYGON ((153 40,153 40.6666666666667,154 40.6666666666667,154 40,153 40));6053
POLYGON ((154 40,154 40.6666666666667,,,154 40));6054
POLYGON ((122 39.3333333333333,122 40,123 40,123 39.3333333333333,122 39.3333333333333));5922
POLYGON ((123 39.3333333333333,123 40,124 40,124 39.3333333333333,123 39.3333333333333));5923
POLYGON ((124 39.3333333333333,124 40,125 40,125 39.3333333333333,124 39.3333333333333));5924
POLYGON ((125 39.3333333333333,125 40,126 40,126 39.3333333333333,125 39.3333333333333));5925
POLYGON ((126 39.3333333333333,126 40,127 40,127 39.3333333333333,126 39.3333333333333));5926
POLYGON ((127 39.3333333333333,127 40,128 40,128 39.3333333333333,127 39.3333333333333));5927
POLYGON ((128 39.3333333333333,128 40,129 40,129 39.3333333333333,128 39.3333333333333));5928
POLYGON ((129 39.3333333333333,129 40,130 40,130 39.3333333333333,129 39.3333333333333));5929
POLYGON ((130 39.3333333333333,130 40,131 40,131 39.3333333333333,130 39.3333333333333));5930
POLYGON ((131 39.3333333333333,131 40,132 40,132 39.3333333333333,131 39.3333333333333));5931
POLYGON ((132 39.3333333333333,132 40,133 40,133 39.3333333333333,132 39.3333333333333));5932
POLYGON ((133 39.3333333333333,133 40,134 40,134 39.3333333333333,133 39.3333333333333));5933
POLYGON ((134 39.3333333333333,134 40,135 40,135 39.3333333333333,134 39.3333333333333));5934
POLYGON ((135 39.3333333333333,135 40,136 40,136 39.3333333333333,135 39.3333333333333));5935
POLYGON ((136 39.3333333333333,136 40,137 40,137 39.3333333333333,136 39.3333333333333));5936
POLYGON ((137 39.3333333333333,137 40,138 40,138 39.3333333333333,137 39.3333333333333));5937
POLYGON ((138 39.3333333333333,138 40,139 40,139 39.3333333333333,138 39.3333333333333));5938
POLYGON ((139 39.3333333333333,139 40,140 40,140 39.3333333333333,139 39.3333333333333));5939
POLYGON ((140 39.3333333333333,140 40,141 40,141 39.3333333333333,140 39.3333333333333));5940
POLYGON ((141 39.3333333333333,141 40,142 40,142 39.3333333333333,141 39.3333333333333));5941
POLYGON ((142 39.3333333333333,142 40,143 40,143 39.3333333333333,142 39.3333333333333));5942
POLYGON ((143 39.3333333333333,143 40,144 40,144 39.3333333333333,143 39.3333333333333));5943
POLYGON ((144 39.3333333333333,144 40,145 40,145 39.3333333333333,144 39.3333333333333));5944
POLYGON ((145 39.3333333333333,145 40,146 40,146 39.3333333333333,145 39.3333333333333));5945
POLYGON ((146 39.3333333333333,146 40,147 40,147 39.3333333333333,146 39.3333333333333));5946
POLYGON ((147 39.3333333333333,147 40,148 40,148 39.3333333333333,147 39.3333333333333));5947
POLYGON ((148 39.3333333333333,148 40,149 40,149 39.3333333333333,148 39.3333333333333));5948
POLYGON ((149 39.3333333333333,149 40,150 40,150 39.3333333333333,149 39.3333333333333));5949
POLYGON ((150 39.3333333333333,150 40,151 40,151 39.3333333333333,150 39.3333333333333));5950
POLYGON ((151 39.3333333333333,151 40,152 40,152 39.3333333333333,151 39.3333333333333));5951
POLYGON ((152 39.3333333333333,152 40,153 40,153 39.3333333333333,152 39.3333333333333));5952
POLYGON ((153 39.3333333333333,153 40,154 40,154 39.3333333333333,153 39.3333333333333));5953
POLYGON ((154 39.3333333333333,154 40,,,154 39.3333333333333));5954
POLYGON ((122 38.6666666666667,122 39.3333333333333,123 39.3333333333333,123 38.6666666666667,122 38.6666666666667));5822
POLYGON ((123 38.6666666666667,123 39.3333333333333,124 39.3333333333333,124 38.6666666666667,123 38.6666666666667));5823
POLYGON ((124 38.6666666666667,124 39.3333333333333,125 39.3333333333333,125 38.6666666666667,124 38.6666666666667));5824
POLYGON ((125 38.6666666666667,125 39.3333333333333,126 39.3333333333333,126 38.6666666666667,125 38.6666666666667));5825
POLYGON ((126 38.6666666666667,126 39.3333333333333,127 39.3333333333333,127 38.6666666666667,126 38.6666666666667));5826
POLYGON ((127 38.6666666666667,127 39.3333333333333,128 39.3333333333333,128 38.6666666666667,127 38.6666666666667));5827
POLYGON ((128 38.6666666666667,128 39.3333333333333,129 39.3333333333333,129 38.6666666666667,128 38.6666666666667));5828
POLYGON ((129 38.6666666666667,129 39.3333333333333,130 39.3333333333333,130 38.6666666666667,129 38.6666666666667));5829
POLYGON ((130 38.6666666666667,130 39.3333333333333,131 39.3333333333333,131 38.6666666666667,130 38.6666666666667));5830
POLYGON ((131 38.6666666666667,131 39.3333333333333,132 39.3333333333333,132 38.6666666666667,131 38.6666666666667));5831
POLYGON ((132 38.6666666666667,132 39.3333333333333,133 39.3333333333333,133 38.6666666666667,132 38.6666666666667));5832
POLYGON ((133 38.6666666666667,133 39.3333333333333,134 39.3333333333333,134 38.6666666666667,133 38.6666666666667));5833
POLYGON ((134 38.6666666666667,134 39.3333333333333,135 39.3333333333333,135 38.6666666666667,134 38.6666666666667));5834
POLYGON ((135 38.6666666666667,135 39.3333333333333,136 39.3333333333333,136 38.6666666666667,135 38.6666666666667));5835
POLYGON ((136 38.6666666666667,136 39.3333333333333,137 39.3333333333333,137 38.6666666666667,136 38.6666666666667));5836
POLYGON ((137 38.6666666666667,137 39.3333333333333,138 39.3333333333333,138 38.6666666666667,137 38.6666666666667));5837
POLYGON ((138 38.6666666666667,138 39.3333333333333,139 39.3333333333333,139 38.6666666666667,138 38.6666666666667));5838
POLYGON ((139 38.6666666666667,139 39.3333333333333,140 39.3333333333333,140 38.6666666666667,139 38.6666666666667));5839
POLYGON ((140 38.6666666666667,140 39.3333333333333,141 39.3333333333333,141 38.6666666666667,140 38.6666666666667));5840
POLYGON ((141 38.6666666666667,141 39.3333333333333,142 39.3333333333333,142 38.6666666666667,141 38.6666666666667));5841
POLYGON ((142 38.6666666666667,142 39.3333333333333,143 39.3333333333333,143 38.6666666666667,142 38.6666666666667));5842
POLYGON ((143 38.6666666666667,143 39.3333333333333,144 39.3333333333333,144 38.6666666666667,143 38.6666666666667));5843
POLYGON ((144 38.6666666666667,144 39.3333333333333,145 39.3333333333333,145 38.6666666666667,144 38.6666666666667));5844
POLYGON ((145 38.6666666666667,145 39.3333333333333,146 39.3333333333333,146 38.6666666666667,145 38.6666666666667));5845
POLYGON ((146 38.6666666666667,146 39.3333333333333,147 39.3333333333333,147 38.6666666666667,146 38.6666666666667));5846
POLYGON ((147 38.6666666666667,147 39.3333333333333,148 39.3333333333333,148 38.6666666666667,147 38.6666666666667));5847
POLYGON ((148 38.6666666666667,148 39.3333333333333,149 39.3333333333333,149 38.6666666666667,148 38.6666666666667));5848
POLYGON ((149 38.6666666666667,149 39.3333333333333,150 39.3333333333333,150 38.6666666666667,149 38.6666666666667));5849
POLYGON ((150 38.6666666666667,150 39.3333333333333,151 39.3333333333333,151 38.6666666666667,150 38.6666666666667));5850
POLYGON ((151 38.6666666666667,151 39.3333333333333,152 39.3333333333333,152 38.6666666666667,151 38.6666666666667));5851
POLYGON ((152 38.6666666666667,152 39.3333333333333,153 39.3333333333333,153 38.6666666666667,152 38.6666666666667));5852
POLYGON ((153 38.6666666666667,153 39.3333333333333,154 39.3333333333333,154 38.6666666666667,153 38.6666666666667));5853
POLYGON ((154 38.6666666666667,154 39.3333333333333,,,154 38.6666666666667));5854
POLYGON ((122 38,122 38.6666666666667,123 38.6666666666667,123 38,122 38));5722
POLYGON ((123 38,123 38.6666666666667,124 38.6666666666667,124 38,123 38));5723
POLYGON ((124 38,124 38.6666666666667,125 38.6666666666667,125 38,124 38));5724
POLYGON ((125 38,125 38.6666666666667,126 38.6666666666667,126 38,125 38));5725
POLYGON ((126 38,126 38.6666666666667,127 38.6666666666667,127 38,126 38));5726
POLYGON ((127 38,127 38.6666666666667,128 38.6666666666667,128 38,127 38));5727
POLYGON ((128 38,128 38.6666666666667,129 38.6666666666667,129 38,128 38));5728
POLYGON ((129 38,129 38.6666666666667,130 38.6666666666667,130 38,129 38));5729
POLYGON ((130 38,130 38.6666666666667,131 38.6666666666667,131 38,130 38));5730
POLYGON ((131 38,131 38.6666666666667,132 38.6666666666667,132 38,131 38));5731
POLYGON ((132 38,132 38.6666666666667,133 38.6666666666667,133 38,132 38));5732
POLYGON ((133 38,133 38.6666666666667,134 38.6666666666667,134 38,133 38));5733
POLYGON ((134 38,134 38.6666666666667,135 38.6666666666667,135 38,134 38));5734
POLYGON ((135 38,135 38.6666666666667,136 38.6666666666667,136 38,135 38));5735
POLYGON ((136 38,136 38.6666666666667,137 38.6666666666667,137 38,136 38));5736
POLYGON ((137 38,137 38.6666666666667,138 38.6666666666667,138 38,137 38));5737
POLYGON ((138 38,138 38.6666666666667,139 38.6666666666667,139 38,138 38));5738
POLYGON ((139 38,139 38.6666666666667,140 38.6666666666667,140 38,139 38));5739
POLYGON ((140 38,140 38.6666666666667,141 38.6666666666667,141 38,140 38));5740
POLYGON ((141 38,141 38.6666666666667,142 38.6666666666667,142 38,141 38));5741
POLYGON ((142 38,142 38.6666666666667,143 38.6666666666667,143 38,142 38));5742
POLYGON ((143 38,143 38.6666666666667,144 38.6666666666667,144 38,143 38));5743
POLYGON ((144 38,144 38.6666666666667,145 38.6666666666667,145 38,144 38));5744
POLYGON ((145 38,145 38.6666666666667,146 38.6666666666667,146 38,145 38));5745
POLYGON ((146 38,146 38.6666666666667,147 38.6666666666667,147 38,146 38));5746
POLYGON ((147 38,147 38.6666666666667,148 38.6666666666667,148 38,147 38));5747
POLYGON ((148 38,148 38.6666666666667,149 38.6666666666667,149 38,148 38));5748
POLYGON ((149 38,149 38.6666666666667,150 38.6666666666667,150 38,149 38));5749
POLYGON ((150 38,150 38.6666666666667,151 38.6666666666667,151 38,150 38));5750
POLYGON ((151 38,151 38.6666666666667,152 38.6666666666667,152 38,151 38));5751
POLYGON ((152 38,152 38.6666666666667,153 38.6666666666667,153 38,152 38));5752
POLYGON ((153 38,153 38.6666666666667,154 38.6666666666667,154 38,153 38));5753
POLYGON ((154 38,154 38.6666666666667,,,154 38));5754
POLYGON ((122 37.3333333333333,122 38,123 38,123 37.3333333333333,122 37.3333333333333));5622
POLYGON ((123 37.3333333333333,123 38,124 38,124 37.3333333333333,123 37.3333333333333));5623
POLYGON ((124 37.3333333333333,124 38,125 38,125 37.3333333333333,124 37.3333333333333));5624
POLYGON ((125 37.3333333333333,125 38,126 38,126 37.3333333333333,125 37.3333333333333));5625
POLYGON ((126 37.3333333333333,126 38,127 38,127 37.3333333333333,126 37.3333333333333));5626
POLYGON ((127 37.3333333333333,127 38,128 38,128 37.3333333333333,127 37.3333333333333));5627
POLYGON ((128 37.3333333333333,128 38,129 38,129 37.3333333333333,128 37.3333333333333));5628
POLYGON ((129 37.3333333333333,129 38,130 38,130 37.3333333333333,129 37.3333333333333));5629
POLYGON ((130 37.3333333333333,130 38,131 38,131 37.3333333333333,130 37.3333333333333));5630
POLYGON ((131 37.3333333333333,131 38,132 38,132 37.3333333333333,131 37.3333333333333));5631
POLYGON ((132 37.3333333333333,132 38,133 38,133 37.3333333333333,132 37.3333333333333));5632
POLYGON ((133 37.3333333333333,133 38,134 38,134 37.3333333333333,133 37.3333333333333));5633
POLYGON ((134 37.3333333333333,134 38,135 38,135 37.3333333333333,134 37.3333333333333));5634
POLYGON ((135 37.3333333333333,135 38,136 38,136 37.3333333333333,135 37.3333333333333));5635
POLYGON ((136 37.3333333333333,136 38,137 38,137 37.3333333333333,136 37.3333333333333));5636
POLYGON ((137 37.3333333333333,137 38,138 38,138 37.3333333333333,137 37.3333333333333));5637
POLYGON ((138 37.3333333333333,138 38,139 38,139 37.3333333333333,138 37.3333333333333));5638
POLYGON ((139 37.3333333333333,139 38,140 38,140 37.3333333333333,139 37.3333333333333));5639
POLYGON ((140 37.3333333333333,140 38,141 38,141 37.3333333333333,140 37.3333333333333));5640
POLYGON ((141 37.3333333333333,141 38,142 38,142 37.3333333333333,141 37.3333333333333));5641
POLYGON ((142 37.3333333333333,142 38,143 38,143 37.3333333333333,142 37.3333333333333));5642
POLYGON ((143 37.3333333333333,143 38,144 38,144 37.3333333333333,143 37.3333333333333));5643
POLYGON ((144 37.3333333333333,144 38,145 38,145 37.3333333333333,144 37.3333333333333));5644
POLYGON ((145 37.3333333333333,145 38,146 38,146 37.3333333333333,145 37.3333333333333));5645
POLYGON ((146 37.3333333333333,146 38,147 38,147 37.3333333333333,146 37.3333333333333));5646
POLYGON ((147 37.3333333333333,147 38,148 38,148 37.3333333333333,147 37.3333333333333));5647
POLYGON ((148 37.3333333333333,148 38,149 38,149 37.3333333333333,148 37.3333333333333));5648
POLYGON ((149 37.3333333333333,149 38,150 38,150 37.3333333333333,149 37.3333333333333));5649
POLYGON ((150 37.3333333333333,150 38,151 38,151 37.3333333333333,150 37.3333333333333));5650
POLYGON ((151 37.3333333333333,151 38,152 38,152 37.3333333333333,151 37.3333333333333));5651
POLYGON ((152 37.3333333333333,152 38,153 38,153 37.3333333333333,152 37.3333333333333));5652
POLYGON ((153 37.3333333333333,153 38,154 38,154 37.3333333333333,153 37.3333333333333));5653
POLYGON ((154 37.3333333333333,154 38,,,154 37.3333333333333));5654
POLYGON ((122 36.6666666666667,122 37.3333333333333,123 37.3333333333333,123 36.6666666666667,122 36.6666666666667));5522
POLYGON ((123 36.6666666666667,123 37.3333333333333,124 37.3333333333333,124 36.6666666666667,123 36.6666666666667));5523
POLYGON ((124 36.6666666666667,124 37.3333333333333,125 37.3333333333333,125 36.6666666666667,124 36.6666666666667));5524
POLYGON ((125 36.6666666666667,125 37.3333333333333,126 37.3333333333333,126 36.6666666666667,125 36.6666666666667));5525
POLYGON ((126 36.6666666666667,126 37.3333333333333,127 37.3333333333333,127 36.6666666666667,126 36.6666666666667));5526
POLYGON ((127 36.6666666666667,127 37.3333333333333,128 37.3333333333333,128 36.6666666666667,127 36.6666666666667));5527
POLYGON ((128 36.6666666666667,128 37.3333333333333,129 37.3333333333333,129 36.6666666666667,128 36.6666666666667));5528
POLYGON ((129 36.6666666666667,129 37.3333333333333,130 37.3333333333333,130 36.6666666666667,129 36.6666666666667));5529
POLYGON ((130 36.6666666666667,130 37.3333333333333,131 37.3333333333333,131 36.6666666666667,130 36.6666666666667));5530
POLYGON ((131 36.6666666666667,131 37.3333333333333,132 37.3333333333333,132 36.6666666666667,131 36.6666666666667));5531
POLYGON ((132 36.6666666666667,132 37.3333333333333,133 37.3333333333333,133 36.6666666666667,132 36.6666666666667));5532
POLYGON ((133 36.6666666666667,133 37.3333333333333,134 37.3333333333333,134 36.6666666666667,133 36.6666666666667));5533
POLYGON ((134 36.6666666666667,134 37.3333333333333,135 37.3333333333333,135 36.6666666666667,134 36.6666666666667));5534
POLYGON ((135 36.6666666666667,135 37.3333333333333,136 37.3333333333333,136 36.6666666666667,135 36.6666666666667));5535
POLYGON ((136 36.6666666666667,136 37.3333333333333,137 37.3333333333333,137 36.6666666666667,136 36.6666666666667));5536
POLYGON ((137 36.6666666666667,137 37.3333333333333,138 37.3333333333333,138 36.6666666666667,137 36.6666666666667));5537
POLYGON ((138 36.6666666666667,138 37.3333333333333,139 37.3333333333333,139 36.6666666666667,138 36.6666666666667));5538
POLYGON ((139 36.6666666666667,139 37.3333333333333,140 37.3333333333333,140 36.6666666666667,139 36.6666666666667));5539
POLYGON ((140 36.6666666666667,140 37.3333333333333,141 37.3333333333333,141 36.6666666666667,140 36.6666666666667));5540
POLYGON ((141 36.6666666666667,141 37.3333333333333,142 37.3333333333333,142 36.6666666666667,141 36.6666666666667));5541
POLYGON ((142 36.6666666666667,142 37.3333333333333,143 37.3333333333333,143 36.6666666666667,142 36.6666666666667));5542
POLYGON ((143 36.6666666666667,143 37.3333333333333,144 37.3333333333333,144 36.6666666666667,143 36.6666666666667));5543
POLYGON ((144 36.6666666666667,144 37.3333333333333,145 37.3333333333333,145 36.6666666666667,144 36.6666666666667));5544
POLYGON ((145 36.6666666666667,145 37.3333333333333,146 37.3333333333333,146 36.6666666666667,145 36.6666666666667));5545
POLYGON ((146 36.6666666666667,146 37.3333333333333,147 37.3333333333333,147 36.6666666666667,146 36.6666666666667));5546
POLYGON ((147 36.6666666666667,147 37.3333333333333,148 37.3333333333333,148 36.6666666666667,147 36.6666666666667));5547
POLYGON ((148 36.6666666666667,148 37.3333333333333,149 37.3333333333333,149 36.6666666666667,148 36.6666666666667));5548
POLYGON ((149 36.6666666666667,149 37.3333333333333,150 37.3333333333333,150 36.6666666666667,149 36.6666666666667));5549
POLYGON ((150 36.6666666666667,150 37.3333333333333,151 37.3333333333333,151 36.6666666666667,150 36.6666666666667));5550
POLYGON ((151 36.6666666666667,151 37.3333333333333,152 37.3333333333333,152 36.6666666666667,151 36.6666666666667));5551
POLYGON ((152 36.6666666666667,152 37.3333333333333,153 37.3333333333333,153 36.6666666666667,152 36.6666666666667));5552
POLYGON ((153 36.6666666666667,153 37.3333333333333,154 37.3333333333333,154 36.6666666666667,153 36.6666666666667));5553
POLYGON ((154 36.6666666666667,154 37.3333333333333,,,154 36.6666666666667));5554
POLYGON ((122 36,122 36.6666666666667,123 36.6666666666667,123 36,122 36));5422
POLYGON ((123 36,123 36.6666666666667,124 36.6666666666667,124 36,123 36));5423
POLYGON ((124 36,124 36.6666666666667,125 36.6666666666667,125 36,124 36));5424
POLYGON ((125 36,125 36.6666666666667,126 36.6666666666667,126 36,125 36));5425
POLYGON ((126 36,126 36.6666666666667,127 36.6666666666667,127 36,126 36));5426
POLYGON ((127 36,127 36.6666666666667,128 36.6666666666667,128 36,127 36));5427
POLYGON ((128 36,128 36.6666666666667,129 36.6666666666667,129 36,128 36));5428
POLYGON ((129 36,129 36.6666666666667,130 36.6666666666667,130 36,129 36));5429
POLYGON ((130 36,130 36.6666666666667,131 36.6666666666667,131 36,130 36));5430
POLYGON ((131 36,131 36.6666666666667,132 36.6666666666667,132 36,131 36));5431
POLYGON ((132 36,132 36.6666666666667,133 36.6666666666667,133 36,132 36));5432
POLYGON ((133 36,133 36.6666666666667,134 36.6666666666667,134 36,133 36));5433
POLYGON ((134 36,134 36.6666666666667,135 36.6666666666667,135 36,134 36));5434
POLYGON ((135 36,135 36.6666666666667,136 36.6666666666667,136 36,135 36));5435
POLYGON ((136 36,136 36.6666666666667,137 36.6666666666667,137 36,136 36));5436
POLYGON ((137 36,137 36.6666666666667,138 36.6666666666667,138 36,137 36));5437
POLYGON ((138 36,138 36.6666666666667,139 36.6666666666667,139 36,138 36));5438
POLYGON ((139 36,139 36.6666666666667,140 36.6666666666667,140 36,139 36));5439
POLYGON ((140 36,140 36.6666666666667,141 36.6666666666667,141 36,140 36));5440
POLYGON ((141 36,141 36.6666666666667,142 36.6666666666667,142 36,141 36));5441
POLYGON ((142 36,142 36.6666666666667,143 36.6666666666667,143 36,142 36));5442
POLYGON ((143 36,143 36.6666666666667,144 36.6666666666667,144 36,143 36));5443
POLYGON ((144 36,144 36.6666666666667,145 36.6666666666667,145 36,144 36));5444
POLYGON ((145 36,145 36.6666666666667,146 36.6666666666667,146 36,145 36));5445
POLYGON ((146 36,146 36.6666666666667,147 36.6666666666667,147 36,146 36));5446
POLYGON ((147 36,147 36.6666666666667,148 36.6666666666667,148 36,147 36));5447
POLYGON ((148 36,148 36.6666666666667,149 36.6666666666667,149 36,148 36));5448
POLYGON ((149 36,149 36.6666666666667,150 36.6666666666667,150 36,149 36));5449
POLYGON ((150 36,150 36.6666666666667,151 36.6666666666667,151 36,150 36));5450
POLYGON ((151 36,151 36.6666666666667,152 36.6666666666667,152 36,151 36));5451
POLYGON ((152 36,152 36.6666666666667,153 36.6666666666667,153 36,152 36));5452
POLYGON ((153 36,153 36.6666666666667,154 36.6666666666667,154 36,153 36));5453
POLYGON ((154 36,154 36.6666666666667,,,154 36));5454
POLYGON ((122 35.3333333333333,122 36,123 36,123 35.3333333333333,122 35.3333333333333));5322
POLYGON ((123 35.3333333333333,123 36,124 36,124 35.3333333333333,123 35.3333333333333));5323
POLYGON ((124 35.3333333333333,124 36,125 36,125 35.3333333333333,124 35.3333333333333));5324
POLYGON ((125 35.3333333333333,125 36,126 36,126 35.3333333333333,125 35.3333333333333));5325
POLYGON ((126 35.3333333333333,126 36,127 36,127 35.3333333333333,126 35.3333333333333));5326
POLYGON ((127 35.3333333333333,127 36,128 36,128 35.3333333333333,127 35.3333333333333));5327
POLYGON ((128 35.3333333333333,128 36,129 36,129 35.3333333333333,128 35.3333333333333));5328
POLYGON ((129 35.3333333333333,129 36,130 36,130 35.3333333333333,129 35.3333333333333));5329
POLYGON ((130 35.3333333333333,130 36,131 36,131 35.3333333333333,130 35.3333333333333));5330
POLYGON ((131 35.3333333333333,131 36,132 36,132 35.3333333333333,131 35.3333333333333));5331
POLYGON ((132 35.3333333333333,132 36,133 36,133 35.3333333333333,132 35.3333333333333));5332
POLYGON ((133 35.3333333333333,133 36,134 36,134 35.3333333333333,133 35.3333333333333));5333
POLYGON ((134 35.3333333333333,134 36,135 36,135 35.3333333333333,134 35.3333333333333));5334
POLYGON ((135 35.3333333333333,135 36,136 36,136 35.3333333333333,135 35.3333333333333));5335
POLYGON ((136 35.3333333333333,136 36,137 36,137 35.3333333333333,136 35.3333333333333));5336
POLYGON ((137 35.3333333333333,137 36,138 36,138 35.3333333333333,137 35.3333333333333));5337
POLYGON ((138 35.3333333333333,138 36,139 36,139 35.3333333333333,138 35.3333333333333));5338
POLYGON ((139 35.3333333333333,139 36,140 36,140 35.3333333333333,139 35.3333333333333));5339
POLYGON ((140 35.3333333333333,140 36,141 36,141 35.3333333333333,140 35.3333333333333));5340
POLYGON ((141 35.3333333333333,141 36,142 36,142 35.3333333333333,141 35.3333333333333));5341
POLYGON ((142 35.3333333333333,142 36,143 36,143 35.3333333333333,142 35.3333333333333));5342
POLYGON ((143 35.3333333333333,143 36,144 36,144 35.3333333333333,143 35.3333333333333));5343
POLYGON ((144 35.3333333333333,144 36,145 36,145 35.3333333333333,144 35.3333333333333));5344
POLYGON ((145 35.3333333333333,145 36,146 36,146 35.3333333333333,145 35.3333333333333));5345
POLYGON ((146 35.3333333333333,146 36,147 36,147 35.3333333333333,146 35.3333333333333));5346
POLYGON ((147 35.3333333333333,147 36,148 36,148 35.3333333333333,147 35.3333333333333));5347
POLYGON ((148 35.3333333333333,148 36,149 36,149 35.3333333333333,148 35.3333333333333));5348
POLYGON ((149 35.3333333333333,149 36,150 36,150 35.3333333333333,149 35.3333333333333));5349
POLYGON ((150 35.3333333333333,150 36,151 36,151 35.3333333333333,150 35.3333333333333));5350
POLYGON ((151 35.3333333333333,151 36,152 36,152 35.3333333333333,151 35.3333333333333));5351
POLYGON ((152 35.3333333333333,152 36,153 36,153 35.3333333333333,152 35.3333333333333));5352
POLYGON ((153 35.3333333333333,153 36,154 36,154 35.3333333333333,153 35.3333333333333));5353
POLYGON ((154 35.3333333333333,154 36,,,154 35.3333333333333));5354
POLYGON ((122 34.6666666666667,122 35.3333333333333,123 35.3333333333333,123 34.6666666666667,122 34.6666666666667));5222
POLYGON ((123 34.6666666666667,123 35.3333333333333,124 35.3333333333333,124 34.6666666666667,123 34.6666666666667));5223
POLYGON ((124 34.6666666666667,124 35.3333333333333,125 35.3333333333333,125 34.6666666666667,124 34.6666666666667));5224
POLYGON ((125 34.6666666666667,125 35.3333333333333,126 35.3333333333333,126 34.6666666666667,125 34.6666666666667));5225
POLYGON ((126 34.6666666666667,126 35.3333333333333,127 35.3333333333333,127 34.6666666666667,126 34.6666666666667));5226
POLYGON ((127 34.6666666666667,127 35.3333333333333,128 35.3333333333333,128 34.6666666666667,127 34.6666666666667));5227
POLYGON ((128 34.6666666666667,128 35.3333333333333,129 35.3333333333333,129 34.6666666666667,128 34.6666666666667));5228
POLYGON ((129 34.6666666666667,129 35.3333333333333,130 35.3333333333333,130 34.6666666666667,129 34.6666666666667));5229
POLYGON ((130 34.6666666666667,130 35.3333333333333,131 35.3333333333333,131 34.6666666666667,130 34.6666666666667));5230
POLYGON ((131 34.6666666666667,131 35.3333333333333,132 35.3333333333333,132 34.6666666666667,131 34.6666666666667));5231
POLYGON ((132 34.6666666666667,132 35.3333333333333,133 35.3333333333333,133 34.6666666666667,132 34.6666666666667));5232
POLYGON ((133 34.6666666666667,133 35.3333333333333,134 35.3333333333333,134 34.6666666666667,133 34.6666666666667));5233
POLYGON ((134 34.6666666666667,134 35.3333333333333,135 35.3333333333333,135 34.6666666666667,134 34.6666666666667));5234
POLYGON ((135 34.6666666666667,135 35.3333333333333,136 35.3333333333333,136 34.6666666666667,135 34.6666666666667));5235
POLYGON ((136 34.6666666666667,136 35.3333333333333,137 35.3333333333333,137 34.6666666666667,136 34.6666666666667));5236
POLYGON ((137 34.6666666666667,137 35.3333333333333,138 35.3333333333333,138 34.6666666666667,137 34.6666666666667));5237
POLYGON ((138 34.6666666666667,138 35.3333333333333,139 35.3333333333333,139 34.6666666666667,138 34.6666666666667));5238
POLYGON ((139 34.6666666666667,139 35.3333333333333,140 35.3333333333333,140 34.6666666666667,139 34.6666666666667));5239
POLYGON ((140 34.6666666666667,140 35.3333333333333,141 35.3333333333333,141 34.6666666666667,140 34.6666666666667));5240
POLYGON ((141 34.6666666666667,141 35.3333333333333,142 35.3333333333333,142 34.6666666666667,141 34.6666666666667));5241
POLYGON ((142 34.6666666666667,142 35.3333333333333,143 35.3333333333333,143 34.6666666666667,142 34.6666666666667));5242
POLYGON ((143 34.6666666666667,143 35.3333333333333,144 35.3333333333333,144 34.6666666666667,143 34.6666666666667));5243
POLYGON ((144 34.6666666666667,144 35.3333333333333,145 35.3333333333333,145 34.6666666666667,144 34.6666666666667));5244
POLYGON ((145 34.6666666666667,145 35.3333333333333,146 35.3333333333333,146 34.6666666666667,145 34.6666666666667));5245
POLYGON ((146 34.6666666666667,146 35.3333333333333,147 35.3333333333333,147 34.6666666666667,146 34.6666666666667));5246
POLYGON ((147 34.6666666666667,147 35.3333333333333,148 35.3333333333333,148 34.6666666666667,147 34.6666666666667));5247
POLYGON ((148 34.6666666666667,148 35.3333333333333,149 35.3333333333333,149 34.6666666666667,148 34.6666666666667));5248
POLYGON ((149 34.6666666666667,149 35.3333333333333,150 35.3333333333333,150 34.6666666666667,149 34.6666666666667));5249
POLYGON ((150 34.6666666666667,150 35.3333333333333,151 35.3333333333333,151 34.6666666666667,150 34.6666666666667));5250
POLYGON ((151 34.6666666666667,151 35.3333333333333,152 35.3333333333333,152 34.6666666666667,151 34.6666666666667));5251
POLYGON ((152 34.6666666666667,152 35.3333333333333,153 35.3333333333333,153 34.6666666666667,152 34.6666666666667));5252
